date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25
2012-02-20,['kentucky'],['syracuse'],['missouri'],['kansas'],['duke'],['michigan-state'],['north-carolina'],['ohio-state'],['georgetown'],['marquette'],['michigan'],['florida'],['baylor'],['murray-state'],['florida-state'],['wisconsin'],['louisville'],['new-mexico'],['wichita-state'],['notre-dame'],['nevada-las-vegas'],['temple'],['indiana'],['san-diego-state'],['virginia']
2012-02-27,['kentucky'],['syracuse'],['kansas'],['duke'],['michigan-state'],['north-carolina'],['missouri'],['marquette'],['baylor'],['ohio-state'],['georgetown'],['murray-state'],['michigan'],['wisconsin'],['wichita-state'],['florida'],['nevada-las-vegas'],['indiana'],['louisville'],['notre-dame'],['san-diego-state'],['florida-state'],['temple'],['virginia'],['creighton']
2012-03-05,['kentucky'],['syracuse'],['kansas'],['north-carolina'],['missouri'],['duke'],['ohio-state'],['michigan-state'],['marquette'],['michigan'],['murray-state'],['baylor'],['georgetown'],['wisconsin'],['indiana'],['wichita-state'],['florida-state'],['san-diego-state'],['creighton'],['nevada-las-vegas'],['temple'],['florida'],['notre-dame'],['gonzaga'],['iowa-state']
2012-05-01,['kentucky'],['syracuse'],['missouri'],['north-carolina'],['michigan-state'],['kansas'],['ohio-state'],['duke'],['baylor'],['florida-state'],['marquette'],['murray-state'],['michigan'],['wisconsin'],['georgetown'],['indiana'],['louisville'],['wichita-state'],['creighton'],['vanderbilt'],['new-mexico'],['san-diego-state'],['nevada-las-vegas'],['saint-marys-ca'],['florida']
2012-10-01,['indiana'],['louisville'],['kentucky'],['ohio-state'],['michigan'],['north-carolina-state'],['kansas'],['duke'],['syracuse'],['florida'],['north-carolina'],['arizona'],['ucla'],['michigan-state'],['missouri'],['creighton'],['memphis'],['nevada-las-vegas'],['baylor'],['san-diego-state'],['gonzaga'],['notre-dame'],['wisconsin'],['cincinnati'],['florida-state']
2012-11-12,['indiana'],['louisville'],['kentucky'],['ohio-state'],['michigan'],['north-carolina-state'],['kansas'],['syracuse'],['duke'],['florida'],['north-carolina'],['arizona'],['ucla'],['missouri'],['creighton'],['baylor'],['memphis'],['nevada-las-vegas'],['gonzaga'],['notre-dame'],['michigan-state'],['wisconsin'],['connecticut'],['cincinnati'],['san-diego-state']
2012-11-19,['indiana'],['louisville'],['ohio-state'],['michigan'],['duke'],['syracuse'],['florida'],['kentucky'],['north-carolina'],['arizona'],['ucla'],['kansas'],['missouri'],['creighton'],['michigan-state'],['north-carolina-state'],['gonzaga'],['nevada-las-vegas'],['memphis'],['oklahoma-state'],['connecticut'],['cincinnati'],['colorado'],['baylor'],['san-diego-state']
2012-11-26,['indiana'],['duke'],['michigan'],['ohio-state'],['louisville'],['syracuse'],['florida'],['kentucky'],['arizona'],['kansas'],['creighton'],['gonzaga'],['michigan-state'],['north-carolina'],['oklahoma-state'],['missouri'],['cincinnati'],['north-carolina-state'],['colorado'],['georgetown'],['minnesota'],['illinois'],['san-diego-state'],['nevada-las-vegas'],['new-mexico']
2012-12-03,['indiana'],['duke'],['michigan'],['syracuse'],['louisville'],['florida'],['ohio-state'],['arizona'],['kansas'],['gonzaga'],['cincinnati'],['missouri'],['illinois'],['minnesota'],['georgetown'],['creighton'],['san-diego-state'],['new-mexico'],['michigan-state'],['north-carolina'],['nevada-las-vegas'],['notre-dame'],['oklahoma-state'],['wichita-state'],['north-carolina-state']
2012-12-10,['indiana'],['duke'],['michigan'],['syracuse'],['florida'],['louisville'],['ohio-state'],['arizona'],['kansas'],['illinois'],['cincinnati'],['missouri'],['minnesota'],['gonzaga'],['georgetown'],['creighton'],['new-mexico'],['san-diego-state'],['michigan-state'],['nevada-las-vegas'],['north-carolina'],['notre-dame'],['wichita-state'],['oklahoma-state'],['north-carolina-state']
